iter	Passed	Remaining
781	1305	363
782	1307	362
783	1308	360
784	1309	358
785	1310	356
786	1310	354
787	1311	352
788	1312	351
789	1313	349
790	1314	347
791	1314	345
792	1315	343
793	1316	341
794	1316	339
795	1317	337
796	1318	335
797	1319	334
798	1320	332
799	1321	330
800	1322	328
801	1323	326
802	1323	324
803	1324	322
804	1325	320
805	1325	319
806	1326	317
807	1326	315
808	1327	313
809	1328	311
810	1328	309
811	1329	307
812	1329	305
813	1330	304
814	1331	302
815	1331	300
816	1336	299
817	1336	297
818	1337	295
819	1338	293
820	1338	291
821	1339	290
822	1340	288
823	1340	286
824	1341	284
825	1341	282
826	1342	280
827	1343	278
828	1343	277
829	1344	275
830	1344	273
831	1345	271
832	1345	269
833	1346	267
834	1346	266
835	1348	264
836	1349	262
837	1350	261
838	1351	259
839	1351	257
840	1352	255
841	1352	253
842	1353	252
843	1353	250
844	1354	248
845	1354	246
846	1355	244
847	1356	243
848	1356	241
849	1357	239
850	1358	237
851	1358	236
852	1359	234
853	1359	232
854	1360	230
855	1360	228
856	1361	227
857	1364	225
858	1366	224
859	1366	222
860	1367	220
861	1367	218
862	1368	217
863	1368	215
864	1369	213
865	1370	211
866	1370	210
867	1371	208
868	1371	206
869	1372	205
870	1372	203
871	1373	201
872	1374	199
873	1374	198
874	1375	196
875	1376	194
876	1376	193
877	1377	191
878	1378	189
879	1380	188
880	1381	186
881	1381	184
882	1382	183
883	1383	181
884	1383	179
885	1384	178
886	1385	176
887	1385	174
888	1386	173
889	1386	171
890	1387	169
891	1387	168
892	1388	166
893	1388	164
894	1389	163
895	1390	161
896	1390	159
897	1391	158
898	1395	156
899	1396	155
900	1396	153
901	1397	151
902	1398	150
903	1398	148
904	1399	146
905	1400	145
906	1400	143
907	1401	142
908	1402	140
909	1403	138
910	1403	137
911	1404	135
912	1405	133
913	1405	132
914	1406	130
915	1407	129
916	1408	127
917	1409	125
918	1410	124
919	1411	122
920	1411	121
921	1412	119
922	1412	117
923	1413	116
924	1414	114
925	1414	113
926	1415	111
927	1416	109
928	1416	108
929	1417	106
930	1417	105
931	1418	103
932	1419	101
933	1420	100
934	1420	98
935	1423	97
936	1424	95
937	1424	94
938	1425	92
939	1426	91
940	1426	89
941	1427	87
942	1428	86
943	1428	84
944	1429	83
945	1429	81
946	1430	80
947	1431	78
948	1431	76
949	1432	75
950	1432	73
951	1433	72
952	1433	70
953	1434	69
954	1435	67
955	1435	66
956	1437	64
957	1437	63
958	1438	61
959	1439	59
960	1439	58
961	1440	56
962	1440	55
963	1441	53
964	1442	52
965	1442	50
966	1443	49
967	1443	47
968	1444	46
969	1445	44
970	1445	43
971	1446	41
972	1447	40
973	1447	38
974	1448	37
975	1448	35
976	1449	34
977	1450	32
978	1450	31
979	1454	29
980	1455	28
981	1455	26
982	1456	25
983	1456	23
984	1457	22
985	1457	20
986	1458	19
987	1459	17
988	1459	16
989	1460	14
990	1461	13
991	1461	11
992	1462	10
993	1462	8
994	1463	7
995	1464	5
996	1465	4
997	1465	2
998	1466	1
999	1467	0
